#depth	accumulation rate in meters of ice equivalent (from Lucie)	Uncertainty %
1229	0.05156	0.2
1230	0.04948	0.2
1231	0.04807	0.2
1232	0.04955	0.2
1233	0.05192	0.2
1234	0.05109	0.2
1235	0.049	0.2
1236	0.04716	0.2
1237	0.0457	0.2
1238	0.04425	0.2
1239	0.04403	0.2
1240	0.046	0.2
1241	0.04835	0.2
1242	0.04901	0.2
1243	0.04888	0.2
1244	0.04909	0.2
1245	0.05025	0.2
1246	0.05139	0.2
1247	0.05122	0.2
1248	0.05183	0.2
1249	0.05292	0.2
1250	0.05303	0.2
1251	0.05121	0.2
1252	0.05237	0.2
1253	0.05495	0.2
1254	0.05721	0.2
1255	0.0564	0.2
1256	0.05573	0.2
1257	0.05625	0.2
1258	0.05601	0.2
1259	0.0553	0.2
1260	0.05472	0.2
1261	0.05475	0.2
1262	0.05492	0.2
1263	0.05418	0.2
1264	0.05408	0.2
1265	0.05337	0.2
1266	0.05214	0.2
1267	0.05133	0.2
1268	0.05107	0.2
1269	0.05144	0.2
1270	0.05225	0.2
1271	0.05228	0.2
1272	0.05168	0.2
1273	0.05122	0.2
1274	0.04782	0.2
1275	0.04734	0.2
1276	0.0472	0.2
1277	0.04572	0.2
1278	0.04517	0.2
1279	0.04464	0.2
1280	0.04418	0.2
1281	0.04859	0.2
1282	0.04984	0.2
1283	0.05012	0.2
1284	0.04665	0.2
1285	0.04671	0.2
1286	0.04766	0.2
1287	0.04798	0.2
1288	0.04713	0.2
1289	0.04548	0.2
1290	0.04655	0.2
1291	0.04662	0.2
1292	0.04635	0.2
1293	0.04603	0.2
1294	0.04542	0.2
1295	0.04505	0.2
1296	0.04677	0.2
1297	0.04672	0.2
1298	0.04634	0.2
1299	0.04707	0.2
1300	0.04894	0.2
1301	0.05311	0.2
1302	0.05496	0.2
1303	0.05583	0.2
1304	0.05473	0.2
1305	0.05423	0.2
1306	0.05243	0.2
1307	0.04941	0.2
1308	0.05142	0.2
1309	0.05268	0.2
1310	0.05866	0.2
1311	0.06037	0.2
1312	0.06049	0.2
1313	0.05893	0.2
1314	0.05369	0.2
1315	0.05276	0.2
1316	0.05253	0.2
1317	0.05527	0.2
1318	0.0552	0.2
1319	0.05443	0.2
1320	0.05475	0.2
1321	0.05604	0.2
1322	0.05664	0.2
1323	0.05805	0.2
1324	0.05911	0.2
1325	0.06154	0.2
1326	0.06174	0.2
1327	0.06293	0.2
1328	0.06288	0.2
1329	0.06335	0.2
1330	0.06706	0.2
1331	0.06755	0.2
1332	0.06738	0.2
1333	0.06381	0.2
1334	0.06366	0.2
1335	0.06316	0.2
1336	0.06147	0.2
1337	0.05966	0.2
1338	0.05584	0.2
1339	0.05204	0.2
1340	0.05021	0.2
1341	0.05084	0.2
1342	0.05342	0.2
1343	0.05654	0.2
1344	0.05844	0.2
1345	0.05917	0.2
1346	0.05974	0.2
1347	0.06045	0.2
1348	0.06076	0.2
1349	0.06198	0.2
1350	0.06394	0.2
1351	0.06383	0.2
1352	0.06355	0.2
1353	0.06339	0.2
1354	0.06231	0.2
1355	0.0622	0.2
1356	0.06169	0.2
1357	0.06181	0.2
1358	0.06179	0.2
1359	0.06091	0.2
1360	0.06101	0.2
1361	0.06068	0.2
1362	0.05947	0.2
1363	0.05913	0.2
1364	0.06046	0.2
1365	0.0623	0.2
1366	0.06307	0.2
1367	0.05643	0.2
1368	0.05477	0.2
1369	0.05362	0.2
1370	0.05353	0.2
1371	0.05807	0.2
1372	0.06	0.2
1373	0.06117	0.2
1374	0.07015	0.2
1375	0.06755	0.2
1376	0.06254	0.2
1377	0.05789	0.2
1378	0.05813	0.2
1379	0.05804	0.2
1380	0.05814	0.2
1381	0.05894	0.2
1382	0.06062	0.2
1383	0.0614	0.2
1384	0.06374	0.2
1385	0.06468	0.2
1386	0.07501	0.2
1387	0.07896	0.2
1388	0.08446	0.2
1389	0.08375	0.2
1390	0.08232	0.2
1391	0.08155	0.2
1392	0.0802	0.2
1393	0.07901	0.2
1394	0.07745	0.2
1395	0.07709	0.2
1396	0.07696	0.2
1397	0.07721	0.2
1398	0.07656	0.2
1399	0.07556	0.2
1400	0.07493	0.2
1401	0.07435	0.2
1402	0.07429	0.2
1403	0.07495	0.2
1404	0.08273	0.2
1405	0.08586	0.2
1406	0.08802	0.2
1407	0.09199	0.2
1408	0.09823	0.2
1409	0.09852	0.2
1410	0.09688	0.2
1411	0.0947	0.2
1412	0.09424	0.2
1413	0.08861	0.2
1414	0.08078	0.2
1415	0.07817	0.2
1416	0.07504	0.2
1417	0.06954	0.2
1418	0.06496	0.2
1419	0.05873	0.2
1420	0.05595	0.2
1421	0.05303	0.2
1422	0.04924	0.2
1423	0.0428	0.2
1424	0.04274	0.2
1425	0.04132	0.2
1426	0.04142	0.2
1427	0.04171	0.2
1428	0.04272	0.2
1429	0.04301	0.2
1430	0.04441	0.2
1431	0.04488	0.2
1432	0.04294	0.2
1433	0.04374	0.2
1434	0.04679	0.2
1435	0.04818	0.2
1436	0.04613	0.2
1437	0.0464	0.2
1438	0.0467	0.2
1439	0.04682	0.2
1440	0.04628	0.2
1441	0.04572	0.2
1442	0.04403	0.2
1443	0.04212	0.2
1444	0.04492	0.2
1445	0.05086	0.2
1446	0.05322	0.2
1447	0.048	0.2
1448	0.04529	0.2
1449	0.04509	0.2
1450	0.04544	0.2
1451	0.04547	0.2
1452	0.04482	0.2
1453	0.04504	0.2
1454	0.04558	0.2
1455	0.04532	0.2
1456	0.04475	0.2
1457	0.04515	0.2
1458	0.04582	0.2
1459	0.04593	0.2
1460	0.04588	0.2
1461	0.04778	0.2
1462	0.05156	0.2
1463	0.05276	0.2
1464	0.04754	0.2
1465	0.04588	0.2
1466	0.04497	0.2
1467	0.04433	0.2
1468	0.04437	0.2
1469	0.04579	0.2
1470	0.04772	0.2
1471	0.05044	0.2
1472	0.0473	0.2
1473	0.04402	0.2
1474	0.04337	0.2
1475	0.04336	0.2
1476	0.04486	0.2
1477	0.04561	0.2
1478	0.04617	0.2
1479	0.04367	0.2
1480	0.04245	0.2
1481	0.04261	0.2
1482	0.04389	0.2
1483	0.04693	0.2
1484	0.05238	0.2
1485	0.05357	0.2
1486	0.04676	0.2
1487	0.04539	0.2
1488	0.04456	0.2
1489	0.04493	0.2
1490	0.0465	0.2
1491	0.05197	0.2
1492	0.05549	0.2
1493	0.05755	0.2
1494	0.05507	0.2
1495	0.05275	0.2
1496	0.05319	0.2
1497	0.05334	0.2
1498	0.05364	0.2
1499	0.05606	0.2
1500	0.06093	0.2
1501	0.06429	0.2
1502	0.06969	0.2
1503	0.07194	0.2
1504	0.07649	0.2
1505	0.07392	0.2
1506	0.07096	0.2
1507	0.07138	0.2
1508	0.07308	0.2
1509	0.07341	0.2
1510	0.06163	0.2
1511	0.05615	0.2
1512	0.05054	0.2
1513	0.05092	0.2
1514	0.05174	0.2
1515	0.05434	0.2
1516	0.05943	0.2
1517	0.06464	0.2
1518	0.06497	0.2
1519	0.06613	0.2
1520	0.06926	0.2
1521	0.0798	0.2
1522	0.07822	0.2
1523	0.07229	0.2
1524	0.06581	0.2
1525	0.05425	0.2
1526	0.05007	0.2
1527	0.04841	0.2
1528	0.04947	0.2
1529	0.05021	0.2
1530	0.04808	0.2
1531	0.04946	0.2
1532	0.05265	0.2
1533	0.05653	0.2
1534	0.05685	0.2
1535	0.05505	0.2
1536	0.05013	0.2
1537	0.05053	0.2
1538	0.05603	0.2
1539	0.06	0.2
1540	0.06414	0.2
1541	0.06713	0.2
1542	0.07774	0.2
1543	0.08078	0.2
1544	0.08241	0.2
1545	0.08826	0.2
1546	0.08069	0.2
1547	0.05793	0.2
1548	0.05192	0.2
1549	0.04614	0.2
1550	0.0513	0.2
1551	0.0521	0.2
1552	0.05224	0.2
1553	0.05109	0.2
1554	0.05024	0.2
1555	0.04956	0.2
1556	0.04776	0.2
1557	0.0472	0.2
1558	0.06102	0.2
1559	0.05908	0.2
1560	0.05651	0.2
1561	0.05338	0.2
1562	0.05405	0.2
1563	0.05535	0.2
1564	0.05847	0.2
1565	0.06404	0.2
1566	0.06655	0.2
1567	0.06671	0.2
1568	0.06639	0.2
1569	0.06404	0.2
1570	0.0595	0.2
1571	0.05778	0.2
1572	0.05779	0.2
1573	0.07143	0.2
1574	0.0716	0.2
1575	0.07018	0.2
1576	0.0684	0.2
1577	0.06149	0.2
1578	0.06153	0.2
1579	0.0624	0.2
1580	0.06501	0.2
1581	0.06609	0.2
1582	0.06772	0.2
1583	0.06759	0.2
1584	0.067	0.2
1585	0.06454	0.2
1586	0.06439	0.2
1587	0.0664	0.2
1588	0.06683	0.2
1589	0.06601	0.2
1590	0.06633	0.2
1591	0.06394	0.2
1592	0.06338	0.2
1593	0.06395	0.2
1594	0.06462	0.2
1595	0.06399	0.2
1596	0.06348	0.2
1597	0.06529	0.2
