#depth	accumulation rate in meters of ice equivalent (from Lucie)	Uncertainty %
287	0.07793	0.2
288	0.07793	0.2
289	0.07793	0.2
290	0.07793	0.2
291	0.07793	0.2
292	0.07809	0.2
293	0.07928	0.2
294	0.07928	0.2
295	0.07928	0.2
296	0.07928	0.2
297	0.07928	0.2
298	0.07967	0.2
299	0.08348	0.2
300	0.08348	0.2
301	0.08348	0.2
302	0.08348	0.2
303	0.08348	0.2
304	0.08348	0.2
305	0.08352	0.2
306	0.08352	0.2
307	0.08352	0.2
308	0.08352	0.2
309	0.08352	0.2
310	0.08352	0.2
311	0.08327	0.2
312	0.08114	0.2
313	0.08114	0.2
314	0.08114	0.2
315	0.08114	0.2
316	0.08114	0.2
317	0.08072	0.2
318	0.07597	0.2
319	0.07597	0.2
320	0.07597	0.2
321	0.07597	0.2
322	0.07597	0.2
323	0.07678	0.2
324	0.08394	0.2
325	0.08394	0.2
326	0.08394	0.2
327	0.08394	0.2
328	0.08394	0.2
329	0.08355	0.2
330	0.07727	0.2
331	0.07727	0.2
332	0.07727	0.2
333	0.07727	0.2
334	0.07727	0.2
335	0.07755	0.2
336	0.08058	0.2
337	0.08058	0.2
338	0.08058	0.2
339	0.08058	0.2
340	0.08058	0.2
341	0.08078	0.2
342	0.0832	0.2
343	0.0832	0.2
344	0.0832	0.2
345	0.0832	0.2
346	0.0832	0.2
347	0.08292	0.2
348	0.07807	0.2
349	0.07807	0.2
350	0.07807	0.2
351	0.07807	0.2
352	0.07807	0.2
353	0.07806	0.2
354	0.07805	0.2
355	0.07805	0.2
356	0.07805	0.2
357	0.07805	0.2
358	0.07805	0.2
359	0.07812	0.2
360	0.07861	0.2
361	0.07861	0.2
362	0.07861	0.2
363	0.07861	0.2
364	0.07868	0.2
365	0.08431	0.2
366	0.08431	0.2
367	0.08431	0.2
368	0.08431	0.2
369	0.08431	0.2
370	0.08431	0.2
371	0.08298	0.2
372	0.07538	0.2
373	0.07538	0.2
374	0.07538	0.2
375	0.07538	0.2
376	0.07544	0.2
377	0.07593	0.2
378	0.07593	0.2
