#depth	LID from barometric equation (Ilaria)	uncertainty
0	0	0.2
1	0	0.2
2	0	0.2
3	0	0.2
4	63.2074474682825	0.2
5	63.1664242252747	0.2
6	63.1842380904233	0.2
7	63.1612908313052	0.2
8	63.1527173472625	0.2
9	63.1476006058571	0.2
10	63.1254692287541	0.2
11	63.1091210735655	0.2
12	63.1053280332898	0.2
13	63.1033334260235	0.2
14	63.0676776656642	0.2
15	63.0406131641421	0.2
16	63.041583591993	0.2
17	63.0344033398259	0.2
18	63.02444855895	0.2
19	63.0287812674894	0.2
20	63.0332501397925	0.2
21	62.9833494886583	0.2
22	62.9899292695342	0.2
23	62.9406098544972	0.2
24	62.8988362225648	0.2
25	62.8893699633925	0.2
26	62.8628892984138	0.2
27	62.8639557211663	0.2
28	62.9091313397086	0.2
29	62.8780836960893	0.2
30	62.8836205418173	0.2
31	62.8632867399866	0.2
32	62.8844671675489	0.2
33	62.8697000638072	0.2
34	62.8653009179865	0.2
35	62.8751770389375	0.2
36	62.8733888106555	0.2
37	62.8830090355741	0.2
38	62.8621200269991	0.2
39	62.8560789443253	0.2
40	62.8786590952802	0.2
41	62.8736876893346	0.2
42	62.8382373840517	0.2
43	62.8216306932769	0.2
44	62.8159074163652	0.2
45	62.8158449558262	0.2
46	62.8351219495066	0.2
47	62.8145346353931	0.2
48	62.8009322447423	0.2
49	62.7994804954806	0.2
50	62.7431092507076	0.2
51	62.7678563918764	0.2
52	62.7630965555642	0.2
53	62.7511636595254	0.2
54	62.7569670521182	0.2
55	62.7282704524707	0.2
56	62.7220367283718	0.2
57	62.707353966531	0.2
58	62.7376967494816	0.2
59	62.7258414070065	0.2
60	62.7280981034729	0.2
61	62.7300917648842	0.2
62	62.6997343470744	0.2
63	62.7201055659429	0.2
64	62.7336421249113	0.2
65	62.732308499528	0.2
66	62.7258257984194	0.2
67	62.7393641321887	0.2
68	62.7292358015633	0.2
69	62.7389898572605	0.2
70	62.7192279672224	0.2
71	62.7209748224774	0.2
72	62.7346823903173	0.2
73	62.7361195108624	0.2
74	62.7383715366285	0.2
75	62.7854137551287	0.2
76	62.7581438182347	0.2
77	62.7524482015029	0.2
78	62.7370057082432	0.2
79	62.7596395769259	0.2
80	62.7970253985608	0.2
81	62.7925964145631	0.2
82	62.7864208709604	0.2
83	62.7467110588693	0.2
84	62.7516508049732	0.2
85	62.7356930960512	0.2
86	62.7601116160688	0.2
87	62.775872235543	0.2
88	62.7732502830417	0.2
89	62.7594993535404	0.2
90	62.7654965774509	0.2
91	62.7655164451153	0.2
92	62.792389036364	0.2
93	62.7940027960474	0.2
94	62.7780060503542	0.2
95	62.7777210613952	0.2
96	62.7723037573802	0.2
97	62.7620870645703	0.2
98	62.7721093878219	0.2
99	62.7837804675909	0.2
100	62.775748378726	0.2
101	62.7649499857602	0.2
102	62.7725396126762	0.2
103	62.7830666632229	0.2
104	62.7651269957429	0.2
105	62.7384167422617	0.2
106	62.7255564275051	0.2
107	62.7219745194597	0.2
108	62.74007763265	0.2
109	62.729766460159	0.2
110	62.7125707556293	0.2
111	62.6849534465036	0.2
112	62.6967491823071	0.2
113	62.671011983962	0.2
114	62.6987088790411	0.2
115	62.695861015646	0.2
116	62.6926755138278	0.2
117	62.6611625738872	0.2
118	62.6726053935216	0.2
119	62.6784483915917	0.2
120	62.6757519461114	0.2
121	62.6918744169523	0.2
122	62.7188431241359	0.2
123	62.6947421172444	0.2
124	62.6652227622305	0.2
125	62.6439962358376	0.2
126	62.6489022815589	0.2
127	62.626377881432	0.2
128	62.6255363163126	0.2
