	#Depth	Thinning	uncertainty %
5.000000000000000000e-01	9.947300000000000031e-01	0	
1.500000000000000000e+00	9.942699999999999871e-01	0.000142857142857143	
2.500000000000000000e+00	9.938099999999999712e-01	0.000285714285714286	
3.500000000000000000e+00	9.933600000000000207e-01	0.000428571428571429	
4.500000000000000000e+00	9.929000000000000048e-01	0.000571428571428571	
5.500000000000000000e+00	9.924399999999999888e-01	0.000714285714285714	
6.500000000000000000e+00	9.919799999999999729e-01	0.000857142857142857	
7.500000000000000000e+00	9.915199999999999569e-01	0.001	
8.500000000000000000e+00	9.910600000000000520e-01	0.00114285714285714	
9.500000000000000000e+00	9.906000000000000361e-01	0.00128571428571429	
1.050000000000000000e+01	9.901400000000000201e-01	0.00142857142857143	
1.150000000000000000e+01	9.896800000000000042e-01	0.00157142857142857	
1.250000000000000000e+01	9.892199999999999882e-01	0.00171428571428571	
1.350000000000000000e+01	9.887599999999999723e-01	0.00185714285714286	
1.450000000000000000e+01	9.882999999999999563e-01	0.002	
1.550000000000000000e+01	9.878400000000000514e-01	0.00214285714285714	
1.650000000000000000e+01	9.873800000000000354e-01	0.00228571428571429	
1.750000000000000000e+01	9.869200000000000195e-01	0.00242857142857143	
1.850000000000000000e+01	9.864600000000000035e-01	0.00257142857142857	
1.950000000000000000e+01	9.859999999999999876e-01	0.00271428571428572	
2.050000000000000000e+01	9.855399999999999716e-01	0.00285714285714286	
2.150000000000000000e+01	9.850900000000000212e-01	0.003	
2.250000000000000000e+01	9.846300000000000052e-01	0.00314285714285714	
2.350000000000000000e+01	9.841699999999999893e-01	0.00328571428571429	
2.450000000000000000e+01	9.837099999999999733e-01	0.00342857142857143	
2.550000000000000000e+01	9.832499999999999574e-01	0.00357142857142857	
2.650000000000000000e+01	9.827900000000000524e-01	0.00371428571428572	
2.750000000000000000e+01	9.823300000000000365e-01	0.00385714285714286	
2.850000000000000000e+01	9.818700000000000205e-01	0.004	
2.950000000000000000e+01	9.814100000000000046e-01	0.00414285714285714	
3.050000000000000000e+01	9.809499999999999886e-01	0.00428571428571429	
3.150000000000000000e+01	9.804899999999999727e-01	0.00442857142857143	
3.250000000000000000e+01	9.800299999999999567e-01	0.00457142857142857	
3.350000000000000000e+01	9.795700000000000518e-01	0.00471428571428571	
3.450000000000000000e+01	9.791100000000000358e-01	0.00485714285714286	
3.550000000000000000e+01	9.786500000000000199e-01	0.005	
3.650000000000000000e+01	9.781900000000000039e-01	0.00514285714285714	
3.750000000000000000e+01	9.777299999999999880e-01	0.00528571428571428	
3.850000000000000000e+01	9.772699999999999720e-01	0.00542857142857143	
3.950000000000000000e+01	9.768200000000000216e-01	0.00557142857142857	
4.050000000000000000e+01	9.763600000000000056e-01	0.00571428571428571	
4.150000000000000000e+01	9.758999999999999897e-01	0.00585714285714285	
4.250000000000000000e+01	9.754399999999999737e-01	0.006	
4.350000000000000000e+01	9.749799999999999578e-01	0.00614285714285714	
4.450000000000000000e+01	9.745200000000000529e-01	0.00628571428571428	
4.550000000000000000e+01	9.740600000000000369e-01	0.00642857142857142	
4.650000000000000000e+01	9.736000000000000210e-01	0.00657142857142857	
4.750000000000000000e+01	9.731400000000000050e-01	0.00671428571428571	
4.850000000000000000e+01	9.726799999999999891e-01	0.00685714285714285	
4.950000000000000000e+01	9.722199999999999731e-01	0.00699999999999999	
5.050000000000000000e+01	9.717599999999999572e-01	0.00714285714285714	
5.150000000000000000e+01	9.713000000000000522e-01	0.00728571428571428	
5.250000000000000000e+01	9.708400000000000363e-01	0.00742857142857142	
5.350000000000000000e+01	9.703800000000000203e-01	0.00757142857142856	
5.450000000000000000e+01	9.699200000000000044e-01	0.00771428571428571	
5.550000000000000000e+01	9.694599999999999884e-01	0.00785714285714285	
5.650000000000000000e+01	9.689999999999999725e-01	0.00799999999999999	
5.750000000000000000e+01	9.685500000000000220e-01	0.00814285714285713	
5.850000000000000000e+01	9.680900000000000061e-01	0.00828571428571428	
5.950000000000000000e+01	9.676299999999999901e-01	0.00842857142857142	
6.050000000000000000e+01	9.671699999999999742e-01	0.00857142857142856	
6.150000000000000000e+01	9.667099999999999582e-01	0.0087142857142857	
6.250000000000000000e+01	9.662500000000000533e-01	0.00885714285714285	
6.350000000000000000e+01	9.657900000000000373e-01	0.00899999999999999	
6.450000000000000000e+01	9.653300000000000214e-01	0.00914285714285713	
6.550000000000000000e+01	9.648700000000000054e-01	0.00928571428571427	
6.650000000000000000e+01	9.644099999999999895e-01	0.00942857142857142	
6.750000000000000000e+01	9.639499999999999735e-01	0.00957142857142856	
6.850000000000000000e+01	9.634899999999999576e-01	0.0097142857142857	
6.950000000000000000e+01	9.630300000000000527e-01	0.00985714285714284	
7.050000000000000000e+01	9.625700000000000367e-01	0.00999999999999999	
7.150000000000000000e+01	9.621100000000000207e-01	0.0101428571428571	
7.250000000000000000e+01	9.616500000000000048e-01	0.0102857142857143	
7.350000000000000000e+01	9.611899999999999888e-01	0.0104285714285714	
7.450000000000000000e+01	9.607299999999999729e-01	0.0105714285714286	
7.550000000000000000e+01	9.602800000000000225e-01	0.0107142857142857	
7.650000000000000000e+01	9.598200000000000065e-01	0.0108571428571428	
7.750000000000000000e+01	9.593599999999999905e-01	0.011	
7.850000000000000000e+01	9.588999999999999746e-01	0.0111428571428571	
7.950000000000000000e+01	9.584399999999999586e-01	0.0112857142857143	
