#Depth	LID [m]	uncertainty %
0.000000000000000000e+00	99.9536945625392	0.2
1.000000000000000000e+00	99.9383772488149	0.2
2.000000000000000000e+00	99.9230599350905	0.2
3.000000000000000000e+00	99.9106496674574	0.2
4.000000000000000000e+00	99.9158889687708	0.2
5.000000000000000000e+00	99.9033584527869	0.2
6.000000000000000000e+00	99.8898053568331	0.2
7.000000000000000000e+00	99.8762523359173	0.2
8.000000000000000000e+00	99.8626992399636	0.2
9.000000000000000000e+00	99.8491461815288	0.2
1.000000000000000000e+01	99.8371425446685	0.2
1.100000000000000000e+01	99.8495788129591	0.2
1.200000000000000000e+01	99.8696668533778	0.2
1.300000000000000000e+01	99.8897549688346	0.2
1.400000000000000000e+01	99.9098430467724	0.2
1.500000000000000000e+01	99.9299310871911	0.2
1.600000000000000000e+01	99.9500191651289	0.2
1.700000000000000000e+01	99.934289217594	0.2
1.800000000000000000e+01	99.9077364307334	0.2
1.900000000000000000e+01	99.8811836438728	0.2
2.000000000000000000e+01	99.8546308570122	0.2
2.100000000000000000e+01	99.8280781076706	0.2
2.200000000000000000e+01	99.807381809447	0.2
2.300000000000000000e+01	99.7991802340946	0.2
2.400000000000000000e+01	99.8109749652396	0.2
2.500000000000000000e+01	99.8262462431678	0.2
2.600000000000000000e+01	99.8415174835771	0.2
2.700000000000000000e+01	99.8585904607433	0.2
2.800000000000000000e+01	99.9057062033504	0.2
2.900000000000000000e+01	99.9528220209954	0.2
3.000000000000000000e+01	99.9936674780664	0.2
3.100000000000000000e+01	100.024574605912	0.2
3.200000000000000000e+01	100.055481733758	0.2
3.300000000000000000e+01	100.086388861604	0.2
3.400000000000000000e+01	100.088953246794	0.2
3.500000000000000000e+01	100.091348383837	0.2
3.600000000000000000e+01	100.092510121727	0.2
3.700000000000000000e+01	100.086174440597	0.2
3.800000000000000000e+01	100.079838759468	0.2
3.900000000000000000e+01	100.073503078339	0.2
4.000000000000000000e+01	100.067947004225	0.2
4.100000000000000000e+01	100.062712955569	0.2
4.200000000000000000e+01	100.057478906914	0.2
4.300000000000000000e+01	100.049410824115	0.2
4.400000000000000000e+01	100.027002984777	0.2
4.500000000000000000e+01	100.004595107921	0.2
4.600000000000000000e+01	99.9779421453667	0.2
4.700000000000000000e+01	99.9304664456057	0.2
4.800000000000000000e+01	99.8829907083257	0.2
4.900000000000000000e+01	99.8355149710457	0.2
5.000000000000000000e+01	99.810205225718	0.2
5.100000000000000000e+01	99.808684543687	0.2
5.200000000000000000e+01	99.8111003912105	0.2
5.300000000000000000e+01	99.8632152010622	0.2
5.400000000000000000e+01	99.9153300109139	0.2
5.500000000000000000e+01	99.9674448582846	0.2
5.600000000000000000e+01	100.019559668136	0.2
5.700000000000000000e+01	100.062479587475	0.2
5.800000000000000000e+01	100.092730695847	0.2
5.900000000000000000e+01	100.109802247291	0.2
6.000000000000000000e+01	100.090446915155	0.2
6.100000000000000000e+01	100.071091545499	0.2
6.200000000000000000e+01	100.051736250881	0.2
6.300000000000000000e+01	100.036416010676	0.2
6.400000000000000000e+01	100.031021493316	0.2
6.500000000000000000e+01	100.025626975957	0.2
6.600000000000000000e+01	100.022732386169	0.2
6.700000000000000000e+01	100.020244164521	0.2
6.800000000000000000e+01	100.017755867835	0.2
6.900000000000000000e+01	100.01503881789	0.2
7.000000000000000000e+01	100.010384550129	0.2
7.100000000000000000e+01	100.005730244849	0.2
7.200000000000000000e+01	100.006317642097	0.2
7.300000000000000000e+01	100.024768128843	0.2
7.400000000000000000e+01	100.043218615589	0.2
7.500000000000000000e+01	100.061669102334	0.2
7.600000000000000000e+01	100.079976416629	0.2
7.700000000000000000e+01	100.098065070271	0.2
7.800000000000000000e+01	100.116153648876	0.2
7.900000000000000000e+01	100.128745808554	0.2
8.000000000000000000e+01	100.136174192638	0.2
8.100000000000000000e+01	100.143602576722	0.2
8.200000000000000000e+01	100.151030960807	0.2
8.300000000000000000e+01	100.154369025012	0.2
8.400000000000000000e+01	100.152926194877	0.2
8.500000000000000000e+01	100.151483364743	0.2
8.600000000000000000e+01	100.16495046718	0.2
8.700000000000000000e+01	100.180446633912	0.2
8.800000000000000000e+01	100.195942875681	0.2
8.900000000000000000e+01	100.211439042413	0.2
9.000000000000000000e+01	100.226935246664	0.2
9.100000000000000000e+01	100.221158786024	0.2
9.200000000000000000e+01	100.194094577863	0.2
9.300000000000000000e+01	100.152886649866	0.2
9.400000000000000000e+01	100.111678721869	0.2
9.500000000000000000e+01	100.070470756353	0.2
9.600000000000000000e+01	100.029262865875	0.2
9.700000000000000000e+01	100.006089826813	0.2
9.800000000000000000e+01	99.9897121514998	0.2
9.900000000000000000e+01	99.9909840076141	0.2
1.000000000000000000e+02	99.9922559012473	0.2
1.010000000000000000e+02	99.9935277948806	0.2
1.020000000000000000e+02	99.9947996885139	0.2
1.030000000000000000e+02	99.9960715821472	0.2
1.040000000000000000e+02	99.9973434382615	0.2
1.050000000000000000e+02	100.000164790988	0.2
1.060000000000000000e+02	100.008685127648	0.2
1.070000000000000000e+02	100.025911857619	0.2
1.080000000000000000e+02	100.04313862511	0.2
1.090000000000000000e+02	100.060365392601	0.2
1.100000000000000000e+02	100.077592122573	0.2
1.110000000000000000e+02	100.094818890063	0.2
1.120000000000000000e+02	100.103129345514	0.2
1.130000000000000000e+02	100.106530216502	0.2
1.140000000000000000e+02	100.105559787923	0.2
1.150000000000000000e+02	100.104589359344	0.2
1.160000000000000000e+02	100.103618930765	0.2
1.170000000000000000e+02	100.102648502186	0.2
1.180000000000000000e+02	100.101678111126	0.2
1.190000000000000000e+02	100.132326282929	0.2
1.200000000000000000e+02	100.167647744619	0.2
1.210000000000000000e+02	100.202969206309	0.2
1.220000000000000000e+02	100.238290705518	0.2
1.230000000000000000e+02	100.273612167208	0.2
1.240000000000000000e+02	100.308933666417	0.2
1.250000000000000000e+02	100.331047206826	0.2
1.260000000000000000e+02	100.316085197902	0.2
1.270000000000000000e+02	100.301123113939	0.2
1.280000000000000000e+02	100.286161105014	0.2
1.290000000000000000e+02	100.27119905857	0.2
1.300000000000000000e+02	100.256237012127	0.2
1.310000000000000000e+02	100.240041641568	0.2
1.320000000000000000e+02	100.21634881447	0.2
1.330000000000000000e+02	100.192978950807	0.2
1.340000000000000000e+02	100.169880311895	0.2
1.350000000000000000e+02	100.146781672983	0.2
1.360000000000000000e+02	100.123683034071	0.2
1.370000000000000000e+02	100.10058435764	0.2
1.380000000000000000e+02	100.074651647065	0.2
1.390000000000000000e+02	100.053771318214	0.2
1.400000000000000000e+02	100.083234377798	0.2
1.410000000000000000e+02	100.112697362345	0.2
1.420000000000000000e+02	100.14216042193	0.2
1.430000000000000000e+02	100.171623481514	0.2
1.440000000000000000e+02	100.201086466061	0.2
1.450000000000000000e+02	100.252715517598	0.2
1.460000000000000000e+02	100.280300151618	0.2
1.470000000000000000e+02	100.298522185256	0.2
1.480000000000000000e+02	100.316744143857	0.2
1.490000000000000000e+02	100.334966177495	0.2
1.500000000000000000e+02	100.353188211134	0.1
1.510000000000000000e+02	100.371410244772	0.1
1.520000000000000000e+02	100.380437387898	0.1
1.530000000000000000e+02	100.389997150552	0.1
1.540000000000000000e+02	100.418843435522	0.1
1.550000000000000000e+02	100.447689720492	0.1
1.560000000000000000e+02	100.476535930424	0.1
1.570000000000000000e+02	100.505382215394	0.1
1.580000000000000000e+02	100.536518396651	0.1
1.590000000000000000e+02	100.548750711732	0.1
1.600000000000000000e+02	100.560982951776	0.1
1.610000000000000000e+02	100.573215229338	0.1
1.620000000000000000e+02	100.585447544419	0.1
1.630000000000000000e+02	100.597679784463	0.1
1.640000000000000000e+02	100.609683308766	0.1
1.650000000000000000e+02	100.618752923384	0.1
1.660000000000000000e+02	100.625861758263	0.1
1.670000000000000000e+02	100.63297063066	0.1
1.680000000000000000e+02	100.640079503057	0.1
1.690000000000000000e+02	100.647188337936	0.1
1.700000000000000000e+02	100.654297247852	0.1
1.710000000000000000e+02	100.661262947798	0.1
1.720000000000000000e+02	100.668009949573	0.1
1.730000000000000000e+02	100.638917052307	0.1
1.740000000000000000e+02	100.608698660491	0.1
1.750000000000000000e+02	101.061091646397	0.1
1.760000000000000000e+02	101.995661126146	0.1
1.770000000000000000e+02	102.92965057223	0.1
1.780000000000000000e+02	103.859019963205	0.1
1.790000000000000000e+02	104.782555771612	0.1
1.800000000000000000e+02	105.782959454527	0.1
1.810000000000000000e+02	106.789916492696	0.1
1.820000000000000000e+02	107.797644676489	0.1
1.830000000000000000e+02	108.806331912387	0.1
1.840000000000000000e+02	109.815602582744	0.1
1.850000000000000000e+02	110.825644397645	0.1
1.860000000000000000e+02	110.816964612032	0.1
1.870000000000000000e+02	110.548971214445	0.1
1.880000000000000000e+02	110.280951133752	0.1
1.890000000000000000e+02	110.013280103006	0.1
1.900000000000000000e+02	109.745582480203	0.1
1.910000000000000000e+02	109.478233815869	0.1
1.920000000000000000e+02	109.234708967337	0.1
1.930000000000000000e+02	109.001187536037	0.1
1.940000000000000000e+02	108.767498838837	0.1
1.950000000000000000e+02	108.534018030059	0.1
1.960000000000000000e+02	108.300370093933	0.1
1.970000000000000000e+02	108.066930029537	0.1
1.980000000000000000e+02	107.833322773416	0.1
1.990000000000000000e+02	107.599923412866	0.1
2.000000000000000000e+02	107.368304252859	0.1
2.010000000000000000e+02	107.142303021589	0.1
2.020000000000000000e+02	106.925370629036	0.1
2.030000000000000000e+02	106.708575070663	0.1
2.040000000000000000e+02	106.491541222639	0.1
2.050000000000000000e+02	106.274644250383	0.1
2.060000000000000000e+02	105.713386917059	0.1
2.070000000000000000e+02	104.349024774083	0.1
2.080000000000000000e+02	102.990124755517	0.1
2.090000000000000000e+02	101.628246547664	0.1
2.100000000000000000e+02	100.265977403021	0.1
2.110000000000000000e+02	98.9031295544847	0.1
2.120000000000000000e+02	97.5400784732202	0.1
2.130000000000000000e+02	96.1766365279333	0.1
2.140000000000000000e+02	95.9953057426473	0.1
2.150000000000000000e+02	96.0959473534844	0.1
2.160000000000000000e+02	96.1942509409424	0.1
2.170000000000000000e+02	96.2925750199916	0.1
2.180000000000000000e+02	96.3909195188824	0.1
2.190000000000000000e+02	96.4892844734734	0.1
2.200000000000000000e+02	96.5810153333294	0.1
2.210000000000000000e+02	96.8835199360292	0.1
2.220000000000000000e+02	97.1871055548304	0.1
2.230000000000000000e+02	97.4921666478242	0.1
2.240000000000000000e+02	97.7971034440809	0.1
2.250000000000000000e+02	97.4280748491687	0.1
2.260000000000000000e+02	96.4395462031944	0.1
2.270000000000000000e+02	95.4513900502679	0.1
2.280000000000000000e+02	94.4639099003209	0.1
2.290000000000000000e+02	93.4753818642893	0.1
2.300000000000000000e+02	92.4831319709494	0.1
2.310000000000000000e+02	92.6615816422985	0.1
2.320000000000000000e+02	93.1245838457939	0.1
2.330000000000000000e+02	93.5875317329173	0.1
