#Depth	Thinning	uncertainty %
2.750000000000000222e-01	1.000140000000000029e+00	0
8.250000000000000666e-01	1.000059999999999949e+00	0.00008438818
1.375000000000000000e+00	9.999850000000000128e-01	0.00016877636
1.925000000000000266e+00	9.999149999999999983e-01	0.00025316454
2.475000000000000089e+00	9.998289999999999678e-01	0.00033755272
3.025000000000000355e+00	9.997470000000000523e-01	0.0004219409
3.575000000000000178e+00	9.996639999999999970e-01	0.00050632908
4.125000000000000000e+00	9.995699999999999585e-01	0.00059071726
4.675000000000000711e+00	9.994680000000000231e-01	0.00067510544
5.224999999999999645e+00	9.993680000000000341e-01	0.00075949362
5.775000000000000355e+00	9.992609999999999548e-01	0.0008438818
6.325000000000001066e+00	9.991630000000000233e-01	0.00092826998
6.875000000000000000e+00	9.990660000000000096e-01	0.00101265816
7.425000000000000711e+00	9.991430000000000033e-01	0.00109704634
7.975000000000000533e+00	9.990440000000000431e-01	0.00118143452
8.525000000000000355e+00	9.989360000000000461e-01	0.0012658227
9.075000000000001066e+00	9.988329999999999709e-01	0.00135021088
9.625000000000000000e+00	9.987329999999999819e-01	0.00143459906
1.017500000000000071e+01	9.986319999999999641e-01	0.00151898724
1.072500000000000142e+01	9.985270000000000534e-01	0.00160337542
1.127500000000000036e+01	9.984199999999999742e-01	0.0016877636
1.182500000000000107e+01	9.983210000000000139e-01	0.00177215178
1.237500000000000000e+01	9.982170000000000210e-01	0.00185653996
1.292500000000000071e+01	9.981079999999999952e-01	0.00194092814
1.347500000000000142e+01	9.981419999999999737e-01	0.00202531632
1.402500000000000213e+01	9.980339999999999767e-01	0.0021097045
1.457500000000000107e+01	9.979249999999999510e-01	0.00219409268
1.512500000000000178e+01	9.978169999999999540e-01	0.00227848086
1.567500000000000071e+01	9.977089999999999570e-01	0.00236286904
1.622500000000000142e+01	9.976009999999999600e-01	0.00244725722
1.677499999999999858e+01	9.974899999999999878e-01	0.0025316454
1.732500000000000284e+01	9.973760000000000403e-01	0.00261603358
1.787500000000000000e+01	9.972609999999999530e-01	0.00270042176
1.842500000000000426e+01	9.971440000000000303e-01	0.00278480994
1.897500000000000142e+01	9.971360000000000223e-01	0.00286919812
1.952499999999999858e+01	9.970179999999999598e-01	0.0029535863
2.007500000000000284e+01	9.969010000000000371e-01	0.00303797448
2.062500000000000000e+01	9.967789999999999706e-01	0.00312236266
2.117500000000000426e+01	9.966570000000000151e-01	0.00320675084
2.172500000000000142e+01	9.965349999999999486e-01	0.00329113902
2.227499999999999858e+01	9.964119999999999644e-01	0.0033755272
2.282500000000000284e+01	9.962889999999999802e-01	0.00345991538
2.337500000000000000e+01	9.961649999999999672e-01	0.00354430356
2.392500000000000426e+01	9.961360000000000214e-01	0.00362869174
2.447500000000000142e+01	9.960099999999999509e-01	0.00371307992
2.502500000000000213e+01	9.958829999999999627e-01	0.0037974681
2.557500000000000284e+01	9.957549999999999457e-01	0.00388185628
2.612500000000000000e+01	9.956279999999999575e-01	0.00396624446
2.667500000000000426e+01	9.955000000000000515e-01	0.00405063264
2.722500000000000142e+01	9.953710000000000058e-01	0.00413502082
2.777500000000000213e+01	9.952400000000000135e-01	0.004219409
2.832500000000000284e+01	9.952320000000000055e-01	0.00430379718
2.887500000000000000e+01	9.950989999999999558e-01	0.00438818536
2.942500000000000426e+01	9.949660000000000171e-01	0.00447257354
2.997500000000000142e+01	9.948339999999999961e-01	0.00455696172
3.052500000000000568e+01	9.946989999999999998e-01	0.0046413499
3.107500000000000284e+01	9.945640000000000036e-01	0.00472573808
3.162500000000000000e+01	9.944290000000000074e-01	0.00481012626
3.217500000000000426e+01	9.942940000000000111e-01	0.00489451444
3.272500000000000142e+01	9.943480000000000096e-01	0.00497890262
3.327500000000000568e+01	9.942119999999999846e-01	0.0050632908
3.382500000000000284e+01	9.940759999999999597e-01	0.00514767898
3.437500000000000000e+01	9.939390000000000169e-01	0.00523206716
3.492500000000000426e+01	9.938010000000000455e-01	0.00531645534
3.547500000000000142e+01	9.936620000000000452e-01	0.00540084352
3.602500000000000568e+01	9.935220000000000162e-01	0.0054852317
3.657500000000000284e+01	9.933809999999999585e-01	0.00556961988
3.712500000000000000e+01	9.933340000000000503e-01	0.00565400805999999
3.767500000000000426e+01	9.931910000000000460e-01	0.00573839623999999
3.822500000000000142e+01	9.930480000000000418e-01	0.00582278441999999
3.877500000000000568e+01	9.929059999999999553e-01	0.00590717259999999
3.932500000000000284e+01	9.927650000000000086e-01	0.00599156077999999
3.987500000000000000e+01	9.926209999999999756e-01	0.00607594895999999
4.042500000000000426e+01	9.924749999999999961e-01	0.00616033713999999
4.097500000000000142e+01	9.925519999999999898e-01	0.00624472531999999
4.152500000000000568e+01	9.924060000000000104e-01	0.00632911349999999
4.207500000000000284e+01	9.922600000000000309e-01	0.00641350167999999
4.262500000000000000e+01	9.921130000000000226e-01	0.00649788985999999
4.317500000000000426e+01	9.919639999999999569e-01	0.00658227803999999
4.372500000000000142e+01	9.918150000000000022e-01	0.00666666621999999
4.427500000000000568e+01	9.916669999999999652e-01	0.00675105439999999
4.482500000000000284e+01	9.915180000000000105e-01	0.00683544257999999
4.537500000000000000e+01	9.915040000000000520e-01	0.00691983075999999
4.592500000000000426e+01	9.913549999999999862e-01	0.00700421893999999
4.647500000000000853e+01	9.912050000000000027e-01	0.00708860711999999
4.702500000000000568e+01	9.910539999999999905e-01	0.00717299529999999
4.757500000000000284e+01	9.909019999999999495e-01	0.00725738347999999
4.812500000000000000e+01	9.907489999999999908e-01	0.00734177165999999
