#Depth	Thinning	uncertainty linear 0-1 TEST1
1.850000000000000000e+01	9.940799999999999637e-01	0
1.950000000000000000e+01	9.939700000000000202e-01	0.000392927308447937
2.050000000000000000e+01	9.938299999999999912e-01	0.000785854616895874
2.150000000000000000e+01	9.936800000000000077e-01	0.00117878192534381
2.250000000000000000e+01	9.935199999999999587e-01	0.00157170923379175
2.350000000000000000e+01	9.933600000000000207e-01	0.00196463654223969
2.450000000000000000e+01	9.931900000000000173e-01	0.00235756385068762
2.550000000000000000e+01	9.929700000000000193e-01	0.00275049115913556
2.650000000000000000e+01	9.927500000000000213e-01	0.0031434184675835
2.750000000000000000e+01	9.925300000000000233e-01	0.00353634577603143
2.850000000000000000e+01	9.923100000000000254e-01	0.00392927308447937
2.950000000000000000e+01	9.920499999999999874e-01	0.00432220039292731
3.050000000000000000e+01	9.917700000000000404e-01	0.00471512770137525
3.150000000000000000e+01	9.915000000000000480e-01	0.00510805500982318
3.250000000000000000e+01	9.912199999999999900e-01	0.00550098231827112
3.350000000000000000e+01	9.909000000000000030e-01	0.00589390962671906
3.450000000000000000e+01	9.905699999999999505e-01	0.00628683693516699
3.550000000000000000e+01	9.902400000000000091e-01	0.00667976424361493
3.650000000000000000e+01	9.899099999999999566e-01	0.00707269155206287
3.750000000000000000e+01	9.895500000000000407e-01	0.0074656188605108
3.850000000000000000e+01	9.891799999999999482e-01	0.00785854616895874
3.950000000000000000e+01	9.888000000000000123e-01	0.00825147347740668
4.050000000000000000e+01	9.884199999999999653e-01	0.00864440078585461
4.150000000000000000e+01	9.880100000000000549e-01	0.00903732809430255
4.250000000000000000e+01	9.876000000000000334e-01	0.00943025540275049
4.350000000000000000e+01	9.871900000000000119e-01	0.00982318271119842
4.450000000000000000e+01	9.867700000000000360e-01	0.0102161100196464
4.550000000000000000e+01	9.863399999999999945e-01	0.0106090373280943
4.650000000000000000e+01	9.858999999999999986e-01	0.0110019646365422
4.750000000000000000e+01	9.854600000000000026e-01	0.0113948919449902
4.850000000000000000e+01	9.850200000000000067e-01	0.0117878192534381
4.950000000000000000e+01	9.845699999999999452e-01	0.012180746561886
5.050000000000000000e+01	9.841199999999999948e-01	0.012573673870334
5.150000000000000000e+01	9.836700000000000443e-01	0.0129666011787819
5.250000000000000000e+01	9.832100000000000284e-01	0.0133595284872299
5.350000000000000000e+01	9.827599999999999669e-01	0.0137524557956778
5.450000000000000000e+01	9.822999999999999510e-01	0.0141453831041257
5.550000000000000000e+01	9.818500000000000005e-01	0.0145383104125737
5.650000000000000000e+01	9.814000000000000501e-01	0.0149312377210216
5.750000000000000000e+01	9.809400000000000341e-01	0.0153241650294695
5.850000000000000000e+01	9.804899999999999727e-01	0.0157170923379175
