#Depth	Accu rate [m/yr]	AICC2012 Uncertainty % = TEST2 bis
1.800000000000000000e+01	6.439430000000000154e-02	0.2
1.900000000000000000e+01	6.738280000000000658e-02	0.200196309383589
2.000000000000000000e+01	5.705280000000000074e-02	0.200392618767177
2.100000000000000000e+01	6.996760000000000479e-02	0.200588928150766
2.200000000000000000e+01	7.677929999999999477e-02	0.200785237534354
2.300000000000000000e+01	6.794200000000000239e-02	0.200981546917943
2.400000000000000000e+01	6.330510000000000304e-02	0.201177856301531
2.500000000000000000e+01	7.167479999999999685e-02	0.20137416568512
2.600000000000000000e+01	6.562740000000000240e-02	0.201570475068708
2.700000000000000000e+01	5.905320000000000014e-02	0.201766784452297
2.800000000000000000e+01	5.753690000000000193e-02	0.201963093835885
2.900000000000000000e+01	6.058489999999999709e-02	0.202159403219474
3.000000000000000000e+01	6.832299999999999485e-02	0.202355712603062
3.100000000000000000e+01	6.505940000000000334e-02	0.202552021986651
3.200000000000000000e+01	6.152130000000000098e-02	0.202748331370239
3.300000000000000000e+01	6.729419999999999846e-02	0.202944640753828
3.400000000000000000e+01	6.387819999999999609e-02	0.203140950137416
3.500000000000000000e+01	6.518050000000000233e-02	0.203337259521005
3.600000000000000000e+01	5.473990000000000106e-02	0.203533568904594
3.700000000000000000e+01	6.731550000000000034e-02	0.203729878288182
3.800000000000000000e+01	7.162109999999999310e-02	0.203926187671771
3.900000000000000000e+01	7.010679999999999690e-02	0.204122497055359
4.000000000000000000e+01	6.096150000000000180e-02	0.204318806438948
4.100000000000000000e+01	6.251299999999999912e-02	0.204515115822536
4.200000000000000000e+01	6.492810000000000248e-02	0.204711425206125
4.300000000000000000e+01	6.442829999999999391e-02	0.204907734589713
4.400000000000000000e+01	5.925140000000000268e-02	0.205104043973302
4.500000000000000000e+01	6.752389999999999781e-02	0.20530035335689
4.600000000000000000e+01	6.708759999999999724e-02	0.205496662740479
4.700000000000000000e+01	6.661730000000000429e-02	0.205692972124067
4.800000000000000000e+01	7.244710000000000039e-02	0.205889281507656
4.900000000000000000e+01	7.102719999999999867e-02	0.206085590891244
5.000000000000000000e+01	5.701309999999999711e-02	0.206281900274833
5.100000000000000000e+01	5.993339999999999779e-02	0.206478209658421
5.200000000000000000e+01	6.161189999999999722e-02	0.20667451904201
5.300000000000000000e+01	5.783209999999999740e-02	0.206870828425598
5.400000000000000000e+01	6.457820000000000227e-02	0.207067137809187
5.500000000000000000e+01	6.026480000000000031e-02	0.207263447192776
5.600000000000000000e+01	5.693709999999999744e-02	0.207459756576364
5.700000000000000000e+01	5.486800000000000010e-02	0.207656065959953
5.800000000000000000e+01	6.800970000000000626e-02	0.207852375343541
5.900000000000000000e+01	6.636749999999999594e-02	0.20804868472713
6.000000000000000000e+01	6.467589999999999451e-02	0.208244994110718
6.100000000000000000e+01	6.294270000000000420e-02	0.208441303494307
6.200000000000000000e+01	5.739249999999999907e-02	0.208637612877895
6.300000000000000000e+01	6.232240000000000002e-02	0.208833922261484
6.400000000000000000e+01	6.545869999999999467e-02	0.209030231645072
6.500000000000000000e+01	6.166350000000000303e-02	0.209226541028661
6.600000000000000000e+01	6.359330000000000538e-02	0.209422850412249
6.700000000000000000e+01	6.018570000000000170e-02	0.209619159795838
6.800000000000000000e+01	6.955379999999999896e-02	0.209815469179426
6.900000000000000000e+01	6.611580000000000235e-02	0.210011778563015
7.000000000000000000e+01	7.173150000000000359e-02	0.210208087946603
7.100000000000000000e+01	6.154010000000000036e-02	0.210404397330192
7.200000000000000000e+01	5.982529999999999792e-02	0.210600706713781
7.300000000000000000e+01	5.970400000000000013e-02	0.210797016097369
7.400000000000000000e+01	5.717760000000000203e-02	0.210993325480958
7.500000000000000000e+01	5.933959999999999929e-02	0.211189634864546
7.600000000000000000e+01	6.980920000000000181e-02	0.211385944248135
