#Depth	Thinning	uncertainty %
8.500000000000000000e+00	9.986000000000000432e-01	0
9.500000000000000000e+00	9.983999999999999542e-01	0.00016249593760156
1.050000000000000000e+01	9.981999999999999762e-01	0.00032499187520312
1.150000000000000000e+01	9.979000000000000092e-01	0.00048748781280468
1.250000000000000000e+01	9.977000000000000313e-01	0.00064998375040624
1.350000000000000000e+01	9.975000000000000533e-01	0.0008124796880078
1.450000000000000000e+01	9.972999999999999643e-01	0.00097497562560936
1.550000000000000000e+01	9.970999999999999863e-01	0.00113747156321092
1.650000000000000000e+01	9.968000000000000194e-01	0.00129996750081248
1.750000000000000000e+01	9.966000000000000414e-01	0.00146246343841404
1.850000000000000000e+01	9.962999999999999634e-01	0.0016249593760156
1.950000000000000000e+01	9.960999999999999854e-01	0.00178745531361716
2.050000000000000000e+01	9.959000000000000075e-01	0.00194995125121872
2.150000000000000000e+01	9.956000000000000405e-01	0.00211244718882028
2.250000000000000000e+01	9.952999999999999625e-01	0.00227494312642184
2.350000000000000000e+01	9.950999999999999845e-01	0.0024374390640234
2.450000000000000000e+01	9.948000000000000176e-01	0.00259993500162496
2.550000000000000000e+01	9.946000000000000396e-01	0.00276243093922652
2.650000000000000000e+01	9.942999999999999616e-01	0.00292492687682808
2.750000000000000000e+01	9.939999999999999947e-01	0.00308742281442964
2.850000000000000000e+01	9.937000000000000277e-01	0.0032499187520312
2.950000000000000000e+01	9.935000000000000497e-01	0.00341241468963276
3.050000000000000000e+01	9.931999999999999718e-01	0.00357491062723432
3.150000000000000000e+01	9.929000000000000048e-01	0.00373740656483588
3.250000000000000000e+01	9.926000000000000378e-01	0.00389990250243744
3.350000000000000000e+01	9.922999999999999599e-01	0.004062398440039
3.450000000000000000e+01	9.919999999999999929e-01	0.00422489437764056
3.550000000000000000e+01	9.917000000000000259e-01	0.00438739031524212
3.650000000000000000e+01	9.915000000000000480e-01	0.00454988625284368
3.750000000000000000e+01	9.911999999999999700e-01	0.00471238219044524
3.850000000000000000e+01	9.909000000000000030e-01	0.0048748781280468
3.950000000000000000e+01	9.906000000000000361e-01	0.00503737406564836
4.050000000000000000e+01	9.901999999999999691e-01	0.00519987000324992
4.150000000000000000e+01	9.899000000000000021e-01	0.00536236594085148
4.250000000000000000e+01	9.896000000000000352e-01	0.00552486187845304
4.350000000000000000e+01	9.892999999999999572e-01	0.0056873578160546
4.450000000000000000e+01	9.889999999999999902e-01	0.00584985375365616
4.550000000000000000e+01	9.887000000000000233e-01	0.00601234969125772
4.650000000000000000e+01	9.883999999999999453e-01	0.00617484562885928
4.750000000000000000e+01	9.880999999999999783e-01	0.00633734156646084
4.850000000000000000e+01	9.877000000000000224e-01	0.0064998375040624
4.950000000000000000e+01	9.874000000000000554e-01	0.00666233344166396
5.050000000000000000e+01	9.870999999999999774e-01	0.00682482937926552
5.150000000000000000e+01	9.868000000000000105e-01	0.00698732531686708
5.250000000000000000e+01	9.864000000000000545e-01	0.00714982125446864
5.350000000000000000e+01	9.860999999999999766e-01	0.0073123171920702
5.450000000000000000e+01	9.858000000000000096e-01	0.00747481312967176
5.550000000000000000e+01	9.854000000000000536e-01	0.00763730906727332
5.650000000000000000e+01	9.850999999999999757e-01	0.00779980500487488
5.750000000000000000e+01	9.848000000000000087e-01	0.00796230094247644
5.850000000000000000e+01	9.844000000000000528e-01	0.008124796880078
5.950000000000000000e+01	9.840999999999999748e-01	0.00828729281767956
6.050000000000000000e+01	9.837000000000000188e-01	0.00844978875528112
6.150000000000000000e+01	9.834000000000000519e-01	0.00861228469288268
6.250000000000000000e+01	9.830999999999999739e-01	0.00877478063048424
6.350000000000000000e+01	9.827000000000000179e-01	0.0089372765680858
6.450000000000000000e+01	9.824000000000000510e-01	0.00909977250568736
6.550000000000000000e+01	9.819999999999999840e-01	0.00926226844328892
6.650000000000000000e+01	9.817000000000000171e-01	0.00942476438089048
6.750000000000000000e+01	9.812999999999999501e-01	0.00958726031849204
6.850000000000000000e+01	9.809999999999999831e-01	0.00974975625609359
6.950000000000000000e+01	9.806000000000000272e-01	0.00991225219369515
7.050000000000000000e+01	9.801999999999999602e-01	0.0100747481312967
7.150000000000000000e+01	9.798999999999999932e-01	0.0102372440688983
7.250000000000000000e+01	9.795000000000000373e-01	0.0103997400064998
7.350000000000000000e+01	9.791999999999999593e-01	0.0105622359441014
7.450000000000000000e+01	9.788000000000000034e-01	0.0107247318817029
7.550000000000000000e+01	9.784000000000000474e-01	0.0108872278193045
7.650000000000000000e+01	9.780999999999999694e-01	0.0110497237569061
